"","Group","Temp","C2H5OH.","C2H4.","C4.","CH3CHO.","C4.12.","Phen.","Other.","m","m1","T'","TT","logalpha","ab","wt","ml"
"27","A5 ",598,28.3,1.14,13.86,15.83,56.28,2.92,9.97,3.34453404545187,4.34119096126212,0.00307692307692308,0.00167224080267559,3.34286180464919,1,2,0.3
"28","A5 ",623,36.8,3.11,18.75,16.16,48,4.36,9.62,3.60710298161148,4.60389399628079,0.00285714285714286,0.00160513643659711,3.60549784517489,1,2,0.3
"29","A5 ",673,76,6.38,38.23,9.64,25.72,3.71,16.32,4.33221922438737,5.32924855956451,0.0025,0.00148588410104012,4.33073334028633,1,2,0.3
"30","A6 ",523,13.4,0.2,3.3,11.59,80.23,1.04,3.64,2.59716675284597,3.59334448786301,0.004,0.00191204588910134,2.59525470695687,1,5,1.68
"31","A6 ",548,12.8,0.38,7.1,26.67,55.7,2.02,8.13,2.55126998844382,3.54762201737451,0.00363636363636364,0.00182481751824818,2.54944517092557,1,5,1.68
"32","A6 ",573,25.5,1.46,7.18,28.51,51.07,2.12,9.66,3.24042365286246,4.23693477344352,0.00333333333333333,0.00174520069808028,3.23867845216438,1,5,1.68
"33","A6 ",623,55.8,14.49,10.65,42.75,19.83,3.74,8.54,4.02337900582386,5.02017002049317,0.00285714285714286,0.00160513643659711,4.02177386938726,1,5,1.68
"34","A6 ",673,83.3,6.18,37.33,16.08,19.48,7.61,13.32,4.42393443327384,5.42096376845097,0.0025,0.00148588410104012,4.4224485491728,1,5,1.68
"35","A7 ",523,19.7,0.18,5.75,3.69,87.26,0,3.12,2.98253068163304,3.97870841665009,0.004,0.00191204588910134,2.98061863574394,1,1,0.3
"36","A7 ",548,29,0.31,6.56,3.27,84.43,0,5.43,3.36912064750472,4.36547267643541,0.00363636363636364,0.00182481751824818,3.36729582998647,1,1,0.3
"37","A7 ",573,40,0.57,8.84,3.98,79.99,0,6.62,3.69062465481202,4.68713577539308,0.00333333333333333,0.00174520069808028,3.68887945411394,1,1,0.3
"38","A7 ",623,58.6,2.28,18.64,8.23,45.04,3.24,22.57,4.07233983301956,5.06913084768887,0.00285714285714286,0.00160513643659711,4.07073469658297,1,1,0.3
"39","A7 ",673,76,8.31,33.25,5.79,24.57,6.76,21.32,4.33221922438737,5.32924855956451,0.0025,0.00148588410104012,4.33073334028633,1,1,0.3
"40","A8 ",523,6.3,0.14,5.63,1.59,86.5,0,6.14,1.84246167928659,2.83863941430364,0.004,0.00191204588910134,1.84054963339749,1,1,0.9
"41","A8 ",548,8.8,0.2,8.52,4.31,82.26,0,4.71,2.17657653900241,3.1729285679331,0.00363636363636364,0.00182481751824818,2.17475172148416,1,1,0.9
"42","A8 ",573,13.2,0.52,13.82,4.6,72.79,0,8.27,2.58196203029041,3.57847315087147,0.00333333333333333,0.00174520069808028,2.58021682959233,1,1,0.9
"43","A8 ",623,31.7,1.45,25.89,4.15,48.52,2.25,17.74,3.45792181731983,4.45471283198914,0.00285714285714286,0.00160513643659711,3.45631668088323,1,1,0.9
"44","A8 ",673,56.1,6.4,41.42,4.32,24.15,0,23.71,4.02862169662969,5.02565103180683,0.0025,0.00148588410104012,4.02713581252865,1,1,0.9
"45","A9 ",523,2.1,0.16,5.4,4.99,81.93,0,7.52,0.743849390618479,1.74002712563553,0.004,0.00191204588910134,0.741937344729377,1,1,2.1
"46","A9 ",548,3,0.33,9.68,4.66,75.09,0,10.24,1.10043710618636,2.09678913511705,0.00363636363636364,0.00182481751824818,1.09861228866811,1,1,2.1
"47","A9 ",573,4.7,0.53,16.1,5.08,61.02,1.57,15.7,1.54930770941409,2.54581882999516,0.00333333333333333,0.00174520069808028,1.54756250871601,1,1,2.1
"48","A9 ",623,13.4,2.84,31.04,3.75,39.29,2.09,20.99,2.59685984339346,3.59365085806277,0.00285714285714286,0.00160513643659711,2.59525470695687,1,1,2.1
"49","A9 ",673,40.8,6.36,42.04,4.71,27.07,0,19.82,3.71016796551116,4.70719730068829,0.0025,0.00148588410104012,3.70868208141012,1,1,2.1
"50","A10 ",523,0.3,1.06,2.19,12.49,83.06,0,1.2,-1.20206075843683,-0.205883023419787,0.004,0.00191204588910134,-1.20397280432594,1,5,2.1
"51","A10 ",548,1,0.58,1.65,4.67,92.77,0,0.33,0.00182481751824818,0.99817684644894,0.00363636363636364,0.00182481751824818,0,1,5,2.1
"52","A10 ",573,1.7,0.8,2.17,5.8,90.32,0,0.91,0.532373451760251,1.52888457234131,0.00333333333333333,0.00174520069808028,0.53062825106217,1,5,2.1
"53","A10 ",623,9,0.81,3.3,4.3,88.98,0.7,1.91,2.19882971377282,3.19562072844213,0.00285714285714286,0.00160513643659711,2.19722457733622,1,5,2.1
"54","A10 ",673,28.6,1.93,10.29,3.68,79.2,0,4.9,3.35489260192685,4.35192193710398,0.0025,0.00148588410104012,3.35340671782581,1,5,2.1
"60","A12 ",523,1.4,0.14,6.17,3.48,81.43,7.45,1.33,0.338384282510314,1.33456201752736,0.004,0.00191204588910134,0.336472236621213,1,1,1.68
"61","A12 ",548,3.5,0.18,8.11,4.2,80,5.3,2.21,1.25458778601362,2.25093981494431,0.00363636363636364,0.00182481751824818,1.25276296849537,1,1,1.68
"62","A12 ",573,6.9,0.43,11.22,8.83,71.28,5.34,2.9,1.93326661230129,2.92977773288236,0.00333333333333333,0.00174520069808028,1.93152141160321,1,1,1.68
"63","A12 ",623,19.9,1.17,22.26,13.48,46.5,5.66,10.93,2.99232486816704,3.98911588283635,0.00285714285714286,0.00160513643659711,2.99071973173045,1,1,1.68
"64","A12 ",673,44.5,3.63,36.3,16.25,25.79,5.32,12.71,3.79697507327323,4.79400440845037,0.0025,0.00148588410104012,3.79548918917219,1,1,1.68
"65","A13 ",523,1.3,0.31,5.19,5.39,79.6,6.87,2.64,0.264276310356592,1.26045404537364,0.004,0.00191204588910134,0.262364264467491,2.03030303030303,1,1.68
"66","A13 ",548,2.3,0.66,7.62,7.67,74.74,5.91,3.4,0.834733940453352,1.83108596938404,0.00363636363636364,0.00182481751824818,0.832909122935104,2.03030303030303,1,1.68
"67","A13 ",573,4.1,1.2,12.74,19.65,55.4,4.87,6.14,1.41273217440834,2.40924329498941,0.00333333333333333,0.00174520069808028,1.41098697371026,2.03030303030303,1,1.68
"68","A13 ",623,14.6,2.53,23.46,26.42,30.99,3.52,13.08,2.68262666515089,3.6794176798202,0.00285714285714286,0.00160513643659711,2.68102152871429,2.03030303030303,1,1.68
"69","A13 ",673,40,5.19,27.91,24.73,22.05,3.85,16.27,3.69036533821498,4.68739467339211,0.0025,0.00148588410104012,3.68887945411394,2.03030303030303,1,1.68
"70","A14 ",523,2.5,0.14,1.89,2.63,90.74,3.18,1.42,0.918202777763256,1.9143805127803,0.004,0.00191204588910134,0.916290731874155,0.492537313432836,1,1.68
"71","A14 ",548,5.3,0.14,2.55,2.8,89.7,2.85,1.96,1.66953163807632,2.66588366700702,0.00363636363636364,0.00182481751824818,1.66770682055808,0.492537313432836,1,1.68
"72","A14 ",573,10.2,0.25,3.61,4.07,85.12,3.43,3.52,2.32413292098831,3.32064404156937,0.00333333333333333,0.00174520069808028,2.32238772029023,0.492537313432836,1,1.68
"73","A14 ",623,24,1.04,10.83,6.25,70.1,4.59,7.19,3.17965896678454,4.17644998145385,0.00285714285714286,0.00160513643659711,3.17805383034795,0.492537313432836,1,1.68
"74","A14 ",673,53.6,2.92,22.3,7.22,49.31,7.48,10.77,3.9830349521778,4.98006428735493,0.0025,0.00148588410104012,3.98154906807676,0.492537313432836,1,1.68
"75","B1 ",523,1.4,0.1,6.32,5.7,83.4,0,4.48,0.338384282510314,1.33456201752736,0.004,0.00191204588910134,0.336472236621213,1,1,1.68
"76","B1 ",548,3.4,0.19,8.25,4.03,81.35,0,6.18,1.22560024914036,2.22195227807106,0.00363636363636364,0.00182481751824818,1.22377543162212,1,1,1.68
"77","B1 ",573,6.7,0.45,12.28,4.11,73.45,0,9.71,1.903852727095,2.90036384767606,0.00333333333333333,0.00174520069808028,1.90210752639692,1,1,1.68
"78","B1 ",623,19.3,1.22,25.97,4.4,48.32,2.44,17.65,2.96171023234744,3.95850124701675,0.00285714285714286,0.00160513643659711,2.96010509591084,1,1,1.68
"79","B1 ",673,43.6,3.77,41.08,4.13,26.79,1.95,22.28,3.77654303445603,4.77357236963316,0.0025,0.00148588410104012,3.77505715035499,1,1,1.68
"80","B2 ",523,2.8,0.2,3.26,2.78,89.53,0,4.23,1.03153146307026,2.02770919808731,0.004,0.00191204588910134,1.02961941718116,1,1,1.68
"81","B2 ",548,4.4,0.32,4.97,3.92,83.2,0,7.59,1.48342935844246,2.47978138737316,0.00363636363636364,0.00182481751824818,1.48160454092422,1,1,1.68
"82","B2 ",573,6.2,0.72,9.32,5.21,71.37,3.09,10.29,1.82629449274913,2.82280561333019,0.00333333333333333,0.00174520069808028,1.82454929205105,1,1,1.68
"83","B2 ",623,16.2,2.11,22.88,6.07,47.39,4.74,16.81,2.78661637867494,3.78340739334425,0.00285714285714286,0.00160513643659711,2.78501124223834,1,1,1.68
"84","B2 ",673,45.1,8.1,38.7,7.12,24.22,4.34,17.52,3.81036813060967,4.80739746578681,0.0025,0.00148588410104012,3.80888224650863,1,1,1.68
"85","B3 ",523,0.4,0.31,2.85,18.98,76.81,0,1.05,-0.914378685985054,0.0817990490319938,0.004,0.00191204588910134,-0.916290731874155,1,1,1.68
"86","B3 ",548,0.6,0.42,5.35,19.79,73.56,0,0.88,-0.509000806247743,0.487351222682949,0.00363636363636364,0.00182481751824818,-0.510825623765991,1,1,1.68
"87","B3 ",573,1.1,0.74,7.61,19.86,70.07,0,1.72,0.0970553805024052,1.09356650108347,0.00333333333333333,0.00174520069808028,0.0953101798043249,1,1,1.68
"88","B3 ",598,3.3,1.16,7.74,16.61,67.57,3.77,3.15,1.19559470927511,2.19225162508536,0.00307692307692308,0.00167224080267559,1.19392246847243,1,1,1.68
"89","B3 ",623,6,1.81,13.81,20.27,53.38,4.64,6.09,1.79336460566465,2.79015562033396,0.00285714285714286,0.00160513643659711,1.79175946922805,1,1,1.68
"90","B3 ",673,21.1,3.79,21.21,19.72,39.51,4.88,10.89,3.05075892458306,4.0477882597602,0.0025,0.00148588410104012,3.04927304048202,1,1,1.68
"91","B4 ",523,0.5,0.1,6.62,6.91,82.18,4.19,0,-0.691235134670844,0.304942600346203,0.004,0.00191204588910134,-0.693147180559945,1,1,1.68
"92","B4 ",548,1.1,0.32,6.62,2.93,83.06,1.93,5.14,0.0971349973225731,1.09348702625326,0.00363636363636364,0.00182481751824818,0.0953101798043249,1,1,1.68
"93","B4 ",573,3,0.31,5.05,8.47,78.11,4.04,4.02,1.10035748936619,2.09686860994725,0.00333333333333333,0.00174520069808028,1.09861228866811,1,1,1.68
"94","B4 ",598,6.1,0.69,8.33,12.29,70.48,3.89,4.32,1.80996101198194,2.80661792779219,0.00307692307692308,0.00167224080267559,1.80828877117927,1,1,1.68
"95","B4 ",623,9.6,0.76,13.1,14.26,59.75,3.89,8.24,2.26336823491039,3.2601592495797,0.00285714285714286,0.00160513643659711,2.26176309847379,1,1,1.68
"96","B4 ",673,33.5,2.68,21.45,15.15,43.12,5.21,12.39,3.51303132293206,4.5100606581092,0.0025,0.00148588410104012,3.51154543883102,1,1,1.68
"97","B5 ",523,2.1,0.18,4.3,3.98,84.81,4.76,1.97,0.743849390618479,1.74002712563553,0.004,0.00191204588910134,0.741937344729377,1,1,2.1
"98","B5 ",548,3.8,0.35,5.06,7.67,78.13,4.22,4.57,1.33682588425059,2.33317791318128,0.00363636363636364,0.00182481751824818,1.33500106673234,1,1,2.1
"99","B5 ",573,5.8,0.47,7.92,14.04,66.89,4.41,6.27,1.75960311825045,2.75611423883152,0.00333333333333333,0.00174520069808028,1.75785791755237,1,1,2.1
"100","B5 ",598,9.8,0.77,11.69,14.62,59.29,5.28,8.35,2.2840546264792,3.28071154228945,0.00307692307692308,0.00167224080267559,2.28238238567653,1,1,2.1
"101","B5 ",623,15.9,1.57,15.34,15.03,53.41,4.14,10.51,2.76792424566278,3.76471526033209,0.00285714285714286,0.00160513643659711,2.76631910922619,1,1,2.1
"102","B5 ",673,45,3.93,25.83,13.82,36.87,6.16,13.39,3.80814837387136,4.8051777090485,0.0025,0.00148588410104012,3.80666248977032,1,1,2.1
"103","B6 ",523,2.8,0.23,4.5,1.97,85.16,4.87,3.27,1.03153146307026,2.02770919808731,0.004,0.00191204588910134,1.02961941718116,1,1,1.68
"104","B6 ",548,7.5,0.15,4.79,2.16,86.83,3.82,2.25,2.01672783806051,3.0130798669912,0.00363636363636364,0.00182481751824818,2.01490302054226,1,1,1.68
"105","B6 ",573,12.6,0.5,8.77,4.81,74.9,5.05,5.97,2.53544201465551,3.53195313523658,0.00333333333333333,0.00174520069808028,2.53369681395743,1,1,1.68
"106","B6 ",598,15.9,1.04,16.06,7.44,57.98,6.75,10.73,2.76799135002886,3.76464826583911,0.00307692307692308,0.00167224080267559,2.76631910922619,1,1,1.68
"107","B6 ",623,27,0.99,22.41,9.95,48.26,4.44,13.95,3.29744200244093,4.29423301711024,0.00285714285714286,0.00160513643659711,3.29583686600433,1,1,1.68
"108","B6 ",673,63.2,4.11,30.48,11.12,34.9,4.71,14.68,4.14779018525385,5.14481952043099,0.0025,0.00148588410104012,4.14630430115281,1,1,1.68
"109","B7 ",523,4.4,0.13,4.08,2.04,86.01,4.79,2.95,1.48351658681332,2.47969432183036,0.004,0.00191204588910134,1.48160454092422,1,1,0.9
"110","B7 ",548,7.9,0.15,6.62,3.49,79.79,5.67,4.28,2.06868757699122,3.06503960592192,0.00363636363636364,0.00182481751824818,2.06686275947298,1,1,0.9
"111","B7 ",573,11.7,0.2,12.86,6.47,68.02,6.71,5.74,2.46133404250179,3.45784516308285,0.00333333333333333,0.00174520069808028,2.45958884180371,1,1,0.9
"112","B7 ",598,17.8,1.42,18.45,7.94,59.12,7.14,5.93,2.88087069810072,3.87752761391097,0.00307692307692308,0.00167224080267559,2.87919845729804,1,1,0.9
"113","B7 ",623,30.2,1.53,25.05,10.3,49.36,6.3,7.46,3.40944706081742,4.40623807548673,0.00285714285714286,0.00160513643659711,3.40784192438082,1,1,0.9
"114","B7 ",673,69.4,2.51,38.17,13.96,26.64,4.71,14.01,4.2413727516138,5.23840208679093,0.0025,0.00148588410104012,4.23988686751276,1,1,0.9
